532,176,123.285714
566,170,123.285714
601,163,123.285714
641,155,123.285714
703,150,123.285714
738,134,123.285714
772,126,123.285714
807,120,123.285714
843,111,123.285714
878,104,123.285714
915,97,123.285714
978,81,123.285714
1024,74,123.285714
1073,65,123.285714
93,398,305.825000
148,395,305.825000
198,394,305.825000
234,390,305.825000
276,388,305.825000
332,383,305.825000
364,380,305.825000
398,376,305.825000
431,373,305.825000
465,369,305.825000
500,364,305.825000
534,360,305.825000
568,353,305.825000
602,349,305.825000
635,343,305.825000
670,335,305.825000
705,331,305.825000
739,325,305.825000
774,318,305.825000
809,311,305.825000
863,300,305.825000
915,291,305.825000
959,285,305.825000
1016,271,305.825000
1053,267,305.825000
1093,259,305.825000
1130,251,305.825000
1169,245,305.825000
1209,241,305.825000
1249,235,305.825000
1299,232,305.825000
1357,227,305.825000
1396,225,305.825000
1436,226,305.825000
1475,227,305.825000
1513,230,305.825000
1550,234,305.825000
1583,240,305.825000
1615,250,305.825000
1648,262,305.825000
25,460,372.651163
59,458,372.651163
95,456,372.651163
130,454,372.651163
165,453,372.651163
200,455,372.651163
253,446,372.651163
297,446,372.651163
331,441,372.651163
369,440,372.651163
408,435,372.651163
467,427,372.651163
501,424,372.651163
535,419,372.651163
569,415,372.651163
603,409,372.651163
637,403,372.651163
671,397,372.651163
705,392,372.651163
740,387,372.651163
810,372,372.651163
844,366,372.651163
879,361,372.651163
916,353,372.651163
952,348,372.651163
989,340,372.651163
1027,332,372.651163
1065,327,372.651163
1102,321,372.651163
1140,314,372.651163
1180,309,372.651163
1219,304,372.651163
1259,299,372.651163
1300,295,372.651163
1339,293,372.651163
1380,291,372.651163
1427,290,372.651163
1470,291,372.651163
1539,297,372.651163
1600,307,372.651163
1631,316,372.651163
1656,327,372.651163
1702,354,372.651163
25,517,502.285714
59,516,502.285714
95,514,502.285714
131,512,502.285714
165,511,502.285714
204,508,502.285714
254,504,502.285714
305,502,502.285714
340,500,502.285714
374,496,502.285714
409,494,502.285714
443,490,502.285714
478,486,502.285714
520,482,502.285714
97,629,550.552632
130,629,550.552632
168,626,550.552632
202,626,550.552632
251,624,550.552632
293,626,550.552632
335,620,550.552632
388,616,550.552632
449,613,550.552632
