93,398,378.692308
148,395,378.692308
198,394,378.692308
233,391,378.692308
277,388,378.692308
332,383,378.692308
363,380,378.692308
398,376,378.692308
431,372,378.692308
465,369,378.692308
499,364,378.692308
533,360,378.692308
567,353,378.692308
25,459,442.000000
59,458,442.000000
95,456,442.000000
130,454,442.000000
165,453,442.000000
200,456,442.000000
252,446,442.000000
297,446,442.000000
330,442,442.000000
369,440,442.000000
408,435,442.000000
467,428,442.000000
501,424,442.000000
535,419,442.000000
568,414,442.000000
25,517,502.428571
60,516,502.428571
95,514,502.428571
131,512,502.428571
165,511,502.428571
204,508,502.428571
254,504,502.428571
305,503,502.428571
340,500,502.428571
374,496,502.428571
409,494,502.428571
444,491,502.428571
477,486,502.428571
518,482,502.428571
